address,price,bed,bath,area,car_spaces,specification,agent_names,agent_phones,property_id,pictures,url
"46 Madeline Street, Glen Waverley, Vic 3150","$2,280,000 - $2,350,000",4,4,726 m² land size,2,"This elevated, large family home on a generous 726m2 corner block is a rare find!,In the coveted Glen Waverley Secondary College zone, only a short walk away, this North Facing home positioned on the high side of the street is only footsteps from everything you could need.,Come see to appreciate its generous proportions catering to the whole family and just perfect for renovation, or start again with a magnificent new home or multi-unit development (STCA).,This property includes 4 generous sized bedrooms, 2 bathrooms including master with complete walk-in robe and ensuite. Multiple living areas and huge wraparound balcony with stunning mountain views complete with a large 20m approx. street frontage and elevated corner block.,Offering a quiet location complete with views of the Dandenong mountains, buy with confidence knowing you are so close to The Glen shopping centre just a short 2 minutes stroll away including Kingsway dining precinct, top schools including Wesley College, train station, Monash Freeway and a lot more. Don't miss out!","Kathleen Kuang,Sam Rossello","04395527...,04117590...","Property ID: ,143241612","https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/24d04faad483800b4ffcbf4a866b7b00bc1195d036603cad63801468e6fa1f68/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/35a3e1d1631b41cf76d430468852499625a573bd0f082d28bb13848e5b83e7c9/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/35a3e1d1631b41cf76d430468852499625a573bd0f082d28bb13848e5b83e7c9/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/278f57421d0036770064a783f5e50103f7ba7d93d5d8929692da986db98665bf/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/b4454d6ef24314fe5e4c69e34cae0224309bc72c89d29ca24f1b3f06ffe1ab35/image.jpg",https://www.realestate.com.au/property-house-vic-glen+waverley-143241612
"857 Waverley Road, Glen Waverley, Vic 3150","$1,400,000 - $1,500,000",3,3,,2,"Deceptively spacious and centered around open plan enjoyment, this single level home spans an impressive 659sqm approx. allotment and offers comfort for the family in the Mount View Primary and Brentwood Secondary Zones.,Only moments from local shops and Jells Park, the home’s design delivers flexibility with the formal lounge room providing space to create a 4th bedroom, while the kitchen, dining and family room offers plenty of space to relax.,Property Highlights:,•	Three oversized bedrooms, all with robes including the master bedroom that boasts a walk-in-robe and ensuite,•	Neatly presented family bathroom with separate toilet,•	Massive bedroom-sized laundry with storage and workbench,•	Generous formal lounge room/potential 4th bedroom,•	Kitchen complemented by a privacy ledge and featuring a gas stove, Bosch oven and Asko dishwasher,•	Open plan dining and family room embracing polished floorboards plus a combustion fireplace,•	Alfresco zone capturing afternoon sunshine and spanning out to the backyard,•	Enriched with ducted heating and split system air conditioning for comfort,•	Further benefitting from an alarm, storage shed and double garage,Local Attractions:,•	Zoned to Mount View Primary and Brentwood Secondary,•	Meters from local shops, buses and Jells Park,•	Close to Caulfield Grammar, The Glen Shopping Centre and Glen Waverley Station,•	Convenient access to EastLink and the Monash Freeway",Jessica Chea,03956039...,"Property ID: ,144269496","https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/4af585ad333cc1aab0e6039b92cf27f13e73252119df17127b477c65d8555ead/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/2aaab8f7825c98b546d1092ba979f7c03bcbaeed9e6000ac9a4a9098817b7999/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/2aaab8f7825c98b546d1092ba979f7c03bcbaeed9e6000ac9a4a9098817b7999/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/076d4ab86f4876ce39c10d8f7173488f6b937149c75feb3b061fb84735683945/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/180b0c4e724fcc4565bc41f545be4338b084ca390e0a804cc73c20464eb763cf/image.jpg",https://www.realestate.com.au/property-house-vic-glen+waverley-144269496
"1105 52-54 O'sullivan Road, Glen Waverley, Vic 3150","$660,000 to $680,000",2,2,,,"Ideally positioned within the prestigious Glen Waverley Secondary College catchment area (subject to school zone availability), this stylish apartment offers unparalleled convenience. Walking distance to The Glen Shopping Centre, various eateries along Kingsway, Village cinema, and Glen Waverley Train Station.,This stylish apartment embodies modern living with utmost convenience, offering seamless access to education, shopping, and transportation, thereby presenting an unparalleled lifestyle opportunity.,Features:,- An open-plan living/dining area provides a spacious and inviting ambiance.,- 2 bedrooms and 2 bathrooms. Master with ensuite and main bathroom with rainfall effect shower, floor-to-ceiling tiles and toilet. ,- Modern kitchen with stone benches, Ilve stove, Ilve oven, Fisher & Paykel dishwasher, and ample cupboard space.,- Heating and cooling systems for year-round comfort.,- Balcony with views. ,- 1 car space in the secure underground parking and a storage cage.,Experience the epitome of contemporary living in this modern apartment.,Call Conan to arrange a private inspection at 0433 900 003.,Disclaimer: We have in preparing this document used our best endeavours to ensure that the information contained in this document is true and accurate, but accept no responsibility and disclaim all liability in respect to any errors, omissions, inaccuracies or misstatements in this document. Prospective purchasers should make their own enquiries to verify the information contained in this document. Purchasers should make their own enquires and refer to the due diligence check-list provided by Consumer Affairs. Click on the link for a copy of the due diligence check-list from Consumer Affairs. http://www.consumer.vic.gov.au/duediligencechecklist.","Conan Ong,Dr Fonny Sujanto","04339000...,04348180...","Property ID: ,144263356","https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/456adca3c122b6e6342bf7202bcfb627fbcf68e3cb5ea34f6138c815ff2841b4/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/456adca3c122b6e6342bf7202bcfb627fbcf68e3cb5ea34f6138c815ff2841b4/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/3df825f082435d87fb94f9e2160a4889bd20d4973f50c2cf9827fa2b8ce19d53/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/1c2656ddc3158967d2a3d8e6c5ae15cb31a9eef0669540a9285513cf792d4618/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/ee94c2e59422c4aeff3e11311ceb3e84ad940199ec9d2b963c59e8b09907a23b/image.jpg",https://www.realestate.com.au/property-apartment-vic-glen+waverley-144263356
"14 Kawana Crescent, Glen Waverley, Vic 3150","$1,580,000 - $1,680,000",4,4,704 m² land size,2,"Commanding an incredible indoor-outdoor ambience with a brilliant visual connection between the formal and family zones and alfresco entertaining, this spacious home is a real delight in the Mount View Primary and Brentwood Secondary Zones (STSA).,Occupying a 703sqm approx. allotment, the home’s dimensions easily cater for the growing family with four robed bedrooms accompanied by a study area and complemented by an ensuite and family bathroom.,Property Highlights:,•	Four robed bedrooms, including a master bedroom with built-in-robes and ensuite,•	Central family bathroom and 2-way toilet,•	Study room conveniently set just beside the front door,•	Sunken formal lounge room boasting a bank of windows and open fireplace,•	Designated formal dining area with access to alfresco zone,•	Open plan meals and family room,•	Neatly presented kitchen adorned with Westinghouse wall oven, Westinghouse stove, Omega dishwasher, double sinks plus a breakfast bench,•	Generous alfresco entertaining zone,•	Family-sized laundry,•	Comforted by ducted heating and split system air conditioning,•	Additionally complemented by a double garage and paved driveway,Local Attractions:,•	Zoned to Mount View Primary and Brentwood Secondary College,•	Moments from Caulfield Grammar and Jells Park,•	Close to The Glen Shopping Centre, buses and Glen Waverley Station,•	Central to EastLink and Monash Freeway",Chris Feng,03956039...,"Property ID: ,144270336","https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/351f54355f5f8a1331bc7fea3eb432c0fca7aa93d34902388c30700aaa7b504a/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/91573021176918d425b9a41bdb54b1be619c2ef73cc2e88cda51c5c950b760eb/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/91573021176918d425b9a41bdb54b1be619c2ef73cc2e88cda51c5c950b760eb/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/0d3e722ebc49d030f09fde2115eb3beb405513319d61b6d3fa2230f10f916e14/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/4f86a2beb1106dbe584f0fe7a6dae01fc81f006e70e5be72b6fd7cc005662313/image.jpg",https://www.realestate.com.au/property-house-vic-glen+waverley-144270336
"97 Springvale Road, Glen Waverley, Vic 3150","$1,400,000 - $1,500,000",6,6,691 m² land size,2,"Discover the epitome of luxurious family living in this exceptional 6-bedroom, 3-bathroom residence in Glen Waverley. Boasting a privileged elevated position with convenient access via the service lane, the property is ideally located near The Glen Shopping Centre, scenic parklands, and esteemed schools.,Designed for ultimate versatility, the layout caters to the needs of large or extended families. The self-contained top level, accessible via an external entry, offers the potential for short or long-term rental. Whether you choose to revel in its current charm or embark on a modern renovation, the ground floor welcomes you with a grand leadlight windowed entry, a bright lounge, a spacious family/meals area featuring a kitchen with timber cabinetry and quality appliances, and a flexible formal dining room or additional bedroom/home office.,The lower level is enhanced by three bedrooms, including the master bedroom with ample built-in robes and an ensuite. A full bathroom and a second toilet add to the functionality of this floor. Ascend to the top level, where a light-filled living/dining zone provides easy access to the second kitchen equipped with stainless steel appliances. Two bedrooms with built-in robes and another bathroom complete this floor, leading to an impressive entertainer's terrace, deck, and a charming mulch garden.,Additional features of this property include reverse cycle heating and cooling, under stairs storage, and a convenient double garage. Situated near Kingsway restaurants and shops, with entry via the service lane, the home provides easy access to amenities such as Highvale Secondary College, Highvale Primary School, Highview Park, Glen Waverley North Reserve, Larpent Reserve, Vermont South Shopping Centre, Burwood One Shopping Centre, buses, and Eastlink.,Live the Glen Waverley lifestyle to the fullest with this remarkable and adaptable family home that seamlessly combines luxury and practicality.,Disclaimer: We have in preparing this document used our best endeavours to ensure that the information contained in this document is true and accurate, but accept no responsibility and disclaim all liability in respect to any errors, omissions, inaccuracies or misstatements in this document. Prospective purchasers should make their own enquiries to verify the information contained in this document. Purchasers should make their own enquires and refer to the due diligence check-list provided by Consumer Affairs. Click on the link for a copy of the due diligence check-list from Consumer Affairs. http://www.consumer.vic.gov.au/duediligencechecklist","Leo Xu,Jenny Zhang","04051278...,04508091...","Property ID: ,144263552","https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/185ffd4196ee4c5d61c531f877bfd1d2e2de34890fc0a6a057c0e19ca0343f72/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/747efa557bd09bd37c8a20d2479513e1a0f16474aad04295e553087c8f1f44f8/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/747efa557bd09bd37c8a20d2479513e1a0f16474aad04295e553087c8f1f44f8/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/926c1c27ef50b89b22e95db4799486a0014d59ca489c56a78792cb4ac6b8711a/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/48c3c7436b75a034bddffa080c0cfc2a9dbbe553748933f1affdb1d0b65ece66/image.jpg",https://www.realestate.com.au/property-house-vic-glen+waverley-144263552
"2/4 Durward Avenue, Glen Waverley, Vic 3150","FOR SALE $1,080,000",3,3,252 m² land size,2,"A gleaming showcase of style and space, this single level unit sits privately at the rear and provides the perfect family start, downsize or investment in the Pinewood Primary and Glen Waverley Secondary Catchments (STSA). Light-filled and alluring, the open plan living, dining and kitchen is generously sized and incorporates the benefits of a Whirlpool oven, Whirlpool gas stove, Technika dishwasher plus a breakfast bench. Sliding doors provide a welcome introduction to the courtyard, here you find a covered deck for entertaining alongside a lengthy, synthetic turf yard where children can play. Down the hallway, the three bedrooms are all robed and include a master bedroom with walk-in-robe and ensuite, further complemented by a family bathroom, powder room and full-sized laundry. Furthermore, the home boasts ducted heating, evaporative cooling, alarm, high ceilings plus a single garage with internal access and rear roller door. Conveniently set, close to Pinewood Primary, Glen Waverley Secondary, Holmesglen Institute, Monash Aquatic and Recreation Centre, Central Reserve, Pinewood Village, The Glen Shopping Centre, buses, Glen Waverley Station plus EastLink and Monash Freeway. ,Photo ID required at all open for inspections.","Darryl Wickham,Alan Zhang","04105547...,04022000...","Property ID: ,144272028","https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/017d38a67f8b1247f33ceac2d27a7b1281b6f04d337e10e8da78131ffbb3b9ed/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/017d38a67f8b1247f33ceac2d27a7b1281b6f04d337e10e8da78131ffbb3b9ed/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/2b58aa0aedfdf75b24133489658be5627fd28b30b8562502f8c8f478402fadcd/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/8ab4e88dd0b254aac09c2fd586a63031795f5a2e0705cc9c3aa29b757475e5a1/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/2d02ae80130e6b77aa8f57bc1a8f36919f256736017fed7237c47e0c98d6143b/image.jpg",https://www.realestate.com.au/property-unit-vic-glen+waverley-144272028
"1/41 Coleman Parade, Glen Waverley, Vic 3150","$1,100,000-$1,200,000",3,3,,2,"Nestled in a serene spot near Syndal train station, this luminous and modern residence is a testament to elegance and spacious living, perfectly catering to family life within the highly sought-after Glen Waverley Secondary Zone. Designed for comfort and style, this home boasts an open-plan living space that integrates the living room, dining area, and kitchen, creating a seamless flow ideal for family interactions and entertainment. High ceilings throughout add a touch of grandeur. ,The kitchen is a highlight, equipped with top-tier stainless steel appliances including a Miele oven and a potent Miele rangehood, complemented by a dishwasher, extensive storage, and chic stone countertops. Climate control is effortless with zoned split system air conditioning, ensuring comfort in any season. Windows in the kitchen and expansive floor-to-ceiling windows in the living area flood the space with natural light.,A secluded balcony off the living room provides a peaceful nook for enjoying a coffee and soaking in the serene atmosphere, courtesy of the fresh air. The low-maintenance front yard is designed for minimal upkeep, facilitating effortless outdoor enjoyment. Positioned within a short walk from cafes, restaurants, and the Syndal station, and near esteemed schools, parks, and a mere 5-minute drive to ""The Glen"" shopping center, this home melds modern amenities with an exceptional location, crafting an unparalleled living experience.,The nearby educational resources are abundant, with the townhouse not only situated within the highly sought-after Glen Waverley Secondary College zone but also close to the prestigious private school, Wesley College.,Step into a world where luxury meets convenience. This townhouse are not just a place to live; It is a lifestyle choice for discerning individuals who demand the very best. Book your viewing today and unlock the door to your dream home at U1/41 Coleman Parade, Glen Waverley.,For more information please contact Smart Listing :,Richard｜0435 495 908,Leo｜0452 478 066,***We take you to your dream homes***","Richard LING,Leo LIN","04354959...,04524780...","Property ID: ,144638600","https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/802fbcc827ad6dc98ae24949e9ecf582caa34cefe4ebd71db5df937b132757c2/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/802fbcc827ad6dc98ae24949e9ecf582caa34cefe4ebd71db5df937b132757c2/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/ee80a645ba4e3ee2b0767b4a4216e11661aa3406f40609b1523968e73faea663/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/7f6acb1ef69e55560d6c43703b5ba807db147a20e10ce7b906a7cffa27f88c5b/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/1758ba9783dd126e2771e8ec204a00014c2cdd4422031f10dd493731cc4df394/image.jpg",https://www.realestate.com.au/property-townhouse-vic-glen+waverley-144638600
"1 Newnham Court, Glen Waverley, Vic 3150","$1,200,000 - $1,300,000",3,3,770 m² land size,2,"Immediately liveable with the perfect fusion of position and potential, this classic one-owner home provides a functional interior with excellent scope to renovate, rebuild or redevelop on 770sqm approx. in the Brentwood Secondary Zone (STCA). ,Placed in the bowl of a quiet court, the home's traditional dimensions embrace the benefits of three robed bedrooms, accompanied by a family bathroom, separate toilet and laundry with double trough. ,The L-shaped lounge and dining room is enriched with corner windows and flows through to the kitchen and meals zone, while a large sunroom extends out onto the level backyard. ,Adding appeal, the home comes complete with ducted heating, split system air conditioning, security shutters plus a side driveway leading to an oversized double garage. ,Positioned within close proximity to Glen Waverley South Primary, Brentwood Secondary, Monash Aquatic Centre, Central Reserve, Brandon Park Shopping Centre, The Glen, buses running along Springvale Rd, Glen Waverley Station and freeways. ","Ryan Yan,Tony Ievoli","04141452...,04228697...","Property ID: ,144139692","https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/c3238805261e1926e1625527e41583e95811b007b8c2317da42d84e68e222e73/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/209021deb5f8affaec1b9980973b2237fd82e9096c9307e566079a81a96f0b4a/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/209021deb5f8affaec1b9980973b2237fd82e9096c9307e566079a81a96f0b4a/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/4f1db2a2abac27c805e3107a83e9e4482eb91a7de0ec3f59389a1ee9fe2ae21b/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/b642eaded2c7933aefdd65f671e6dafff7983c39db320318c22b99bb3311abe5/image.jpg",https://www.realestate.com.au/property-house-vic-glen+waverley-144139692
"7/2-4 Blair Road, Glen Waverley, Vic 3150","$570,000-$610,000",2,2,,2,"Nestled in the heart of Glen Waverley lies this surprisingly capacious apartment, perfectly positioned mere steps away from The Glen Shopping Centre, Glen Waverley Secondary College, train and bus stations, Village Cinemas, vibrant Kingsway nightlife, and much more! ,Boasting generous proportions and a contemporary interior, this deluxe property promises to captivate with its two spacious bedrooms featuring walk-in robes and access to a balcony. The sleek, modern kitchen is adorned with stone benchtops and Blanco appliances, overlooking the sunlit living and dining area that spills out onto a sprawling entertainer's balcony offering views of The Glen. ,Additional modern conveniences include a sizable bathroom with a separate toilet, laundry facilities, reverse-cycle split system air conditioning, electric heating, a secure undercover carpark space, and storage. The building itself ensures security with restricted entry door access, intercom, and remote control access to the basement carpark via a lift. ,The Owners Corporation Fee covers insurance and gas. With an array of excellent amenities at your fingertips, this property is an ideal addition to your investment portfolio or a haven for busy executives, international students, and content retirees alike!,Photo ID required at all open for inspections.,Disclaimer: We have in preparing this document used our best endeavors to ensure that the information contained in this document is true and accurate, but accept no responsibility and disclaim all liability in respect to any errors, omissions, inaccuracies or misstatements in this document. Prospective purchasers should make their own enquiries to verify the information contained in this document. Purchasers should make their own enquires and refer to the due diligence check-list provided by Consumer Affairs. Click on the link for a copy of the due diligence check-list from Consumer Affairs. http://www.consumer.vic.gov.au/duediligencechecklist,    ","Miles Chen,Eddie Fu","04266080...,04213396...","Property ID: ,144642040","https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/975609c7d119cf2a511661fe108222bb7d314a1eccbd6564b0e13119e3dbe03b/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/975609c7d119cf2a511661fe108222bb7d314a1eccbd6564b0e13119e3dbe03b/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/5148b8f6f3f794737f062d84838e01f1c55d99f320d53d948b11de8d2a68dc60/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/6b1911a17eef8abf34c40df638f5719b935b85537586a0dddd4c71c65d5360ff/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/c12cc7dcf1164ebe8cf9ad7da844effea130b41d83bbf6ba0580fd1f5fcb8e2b/image.jpg",https://www.realestate.com.au/property-apartment-vic-glen+waverley-144642040
"1008/23 Osullivan Road, Glen Waverley, Vic 3150","$1,188,000-$1,230,000",3,3,,2,"Welcome to ""Sky Gardens,"" where luxury living harmoniously blends with enchanting mountain vistas and the beauty of sunrise. This three-bedroom apartment transcends mere residence; it's an everyday experience that will leave you in awe.,Imagine waking up to stunning panoramic mountain views stretching as far as the eye can see, accompanied by the gentle glow of the sunrise. ""Sky Gardens"" bestows upon you the privilege of embracing the serene beauty of the mountain landscape from the comfort of your own home.,Prime Location:,Nestled in the heart of Glen Waverley, ""Sky Gardens"" offers seamless access to premium retail and entertainment options, solidifying its status as a coveted landmark address. Conveniently within walking distance to train and bus stops, enhancing your mobility.,Educational Excellence:,""Sky Gardens"" resides within the highly sought-after Glen Waverley Secondary School Zone (STSA) and Glen Waverley Primary School Zone, ensuring your family enjoys access to top-tier education.,Modern Living with World-Class Amenities:,Beyond its educational advantages, ""Sky Gardens"" boasts a wealth of amenities, including a sprawling 4,000sqm garden area, an indoor swimming pool, a fully-equipped gym, meticulously landscaped communal spaces, and more. Here, luxury seamlessly melds with grandeur, crafting an extraordinary living experience.,Your Winter Garden Awaits:,This opulent three-bedroom apartment showcases a ""winter garden,"" allowing you to enjoy the mountain views in all seasons. Use it as an indoor-outdoor retreat, seamlessly blending the beauty of nature with the comfort of indoor living.,Your Dream Home Awaits:,This opulent three-bedroom apartment showcases:,• Premium Fixtures and Fittings,• Sumptuous Timber Flooring,• High-End Miele Appliances,• Expansive Living Areas,• Luxurious Master Bedroom with Ensuite,• Sun-Drenched Interiors with Abundant Natural Light,• Energy-Efficient Double-Glazed Windows,• Secure Dedicated Car Space,• Thoughtful and Convenient Storage Solutions,• Split System Unit for Personalized Comfort,• Convenient European Laundry Facilities,""Sky Gardens"" is more than just a home; it's a lifestyle where every detail has been meticulously crafted to offer you the best in contemporary living.,Contact Ivan U, the Sky Garden specialist, for a private inspection to embark on this unparalleled living experience!",Ivan U,04323593...,"Property ID: ,144276212","https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/9e92897d5f83793bbffdf3c332c664a37a5eabf5d0423c0ca04c8be00914d592/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/9e92897d5f83793bbffdf3c332c664a37a5eabf5d0423c0ca04c8be00914d592/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/5a95f4d5ee1fc2cabd56684a7725deb5a6d9b065c9b623ab3464cf8a7d9dd2db/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/19f0b16a00bb2b5926ead9581976b81228f16ac5b8959bdc81062958f06741cf/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/9f39784c17760719a4310e3446a64bcf57616990ac1ad66e81f9d0c6164e144a/image.jpg",https://www.realestate.com.au/property-apartment-vic-glen+waverley-144276212
"583  Ferntree Gully Road, Glen Waverley, Vic 3150","From $1,260,000",4,,,2,,,0499 388...,,"https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/7592da215d7712f95b4977369979e4a76c539e22e0028437403256769f444dd6/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/2898a5368c0b1696f85c6d927051f34eff645a76898a755d2707d2c52f5193a6/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/d857b47c87c81f4bec027cb57212e8a9b4706b76500c9870a9e27ef12e12195d/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/043d06a0a62dd08b31fa88266b27ccc430c5b7505094177ed3692a3f6f5b32fb/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/ac650f4068ac465ba711e5fe0a51cb732b866b42a764487f8c45d9d83a70a983/image.jpg",https://www.realestate.com.au/project/floret-glen-waverley-600036975
"TYPE A3/583 Ferntree Gully Rd, Glen Waverley, Vic 3150","$1,395,000",3,3,,2,"• Three level townhome providing a generous spacious layout for flexible living.,• A beautiful walk-in wardrobe in the second bedroom ,• A ground floor second living with a bathroom next to it provides the opportunity for multi-purpose family entertainment or the added flexibility to work from home.,• Drying courtyard off the garage,• Suitable for first home buyer, young families, downsizers or upsizers who are looking for more space and flexibility, perfect investment opportunity in the centre of Glen Waverley.,Floret is a vibrant new community of premium townhouses located in Glen Waverley, available from $995k.,With elevated interiors designed by award-winning architects RotheLowman and verdant landscapes by renowned ASPECT Studios, our Floret Townhouses share a rich synergy between built and natural environments.,Supporting the needs of a modern lifestyle, Floret boasts proximity to vast retail offerings, eminent public and private schools, universities and expansive green spaces.,Display suite is open by appointment. Please contact our sales team to book inspection.,Display Address: 583 Ferntree Gully Road, Glen Waverley,FloretHomes.com.au","Silvia Pan,Sherroy Ong","04562502...,04234260...","Property ID: ,143721120","https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/59618217d1174c6b7a9d0a2c5dabf2461b751487619578ecb099e1a24100c829/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/project/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/6e7463cce821d16f522276ef6811739254bfa24f87e98ffcd99fc090cd0a8b04/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/www.realestate.com.au/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/listing/image.jpg",https://www.realestate.com.au/property-townhouse-vic-glen+waverley-143721120
"1407/25 Osullivan Road, Glen Waverley, Vic 3150","$810,000 - $830,000",2,2,,2,"Welcome to this stunning 2 bedroom, 2 bathroom apartment located at 1407/25 Osullivan Road in the sought-after suburb of Glen Waverley, in the heart of the area with in Glen Waverley Secondary College zone, and walking distance to the central shopping centre, train station, schools and amenities.,This modern apartment features a spacious living area, a sleek kitchen with quality appliances, and a balcony with stunning views. The bedrooms are well-appointed with built-in robes, and the master bedroom includes an ensuite. ,With a carport space included, this apartment offers convenience and comfort. The building itself boasts a contemporary design and is located in a prime location close to all amenities.,Key Features and Amenities:,- 2 Bedrooms: Discover two beautifully designed bedrooms, each providing relaxation and rejuvenation.,- 2 Bathrooms, 2 Toilets: Enjoy the luxury of two well-appointed bathrooms and an additional toilet, ensuring privacy and ease of living.,- Parking and Storage: This apartment includes the convenience of parking and additional storage, simplifying your daily routine.,- Approximately 4,000m2 private podium gardens reminiscing of Singapore featuring BBQ areas, bars, lounges, rest area, kitchen garden, play and picnic area, private cabanas and meditation/wellness area means affordable luxury with minimal upkeep, freeing you to enjoy life's pleasures.,- resort-style swimming pool with sauna, two-level gym and open plan yoga area, library, private dining with kitchen and terrace BBQ facilities, private lounge, Mahjong rooms and private theatre enriching your daily life.,- Enhanced security and Front Desk Concierges ensure peace of mind, potentially reducing insurance costs.,- Private Social & Recreational Committee activities such as New Year/Halloween Celebrations,Photo ID required for all inspections.","Jichen Quan,Andy Zhang","04046169...,04492719...","Property ID: ,144642660","https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/ca1792ff584a3e4cba3b5b6d7ca2cde8c67f09cf6b0172de04701e70af6e87c9/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/ca1792ff584a3e4cba3b5b6d7ca2cde8c67f09cf6b0172de04701e70af6e87c9/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/02c5b16792789658da2394fc33f5b4e6eaff234c80f9608ef1b5596b0e4d57f4/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/a0f97c6de7bc0b648b855220d592c6d76c0dcc6599b097d481d34083cad95f94/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/fdf1328c06e5f26a80d7f6445b91949bc70306b9a2c26d224f37c33bcbc9b6a8/image.jpg",https://www.realestate.com.au/property-apartment-vic-glen+waverley-144642660
