address,price,bed,bath,area,car_spaces,specification,agents,property_id,pictures
"1/20 Myrtle Street, Glen Waverley, Vic 3150",Contact Agent,4,4,383,2,"Exclusively refined with an elegant French Provincial profile, this imposing corner residence mesmerizes with its seductive open plan design, soaring high ceilings and luxury appointments.,Drawing you inside, stunning herringbone floorboards provide a cohesive flow from the open entry foyer and into the lavish kitchen, living and dining zone incorporating waterfall stone benches, glass splashbacks, 900mm appliances, Bosch dishwasher, soft-close cabinetry, island breakfast bench and walk-in-pantry, while a 2nd kitchen and an alluring entertaining deck provide added appeal for the avid chef and those who love to entertain.,Towards the front of the home a generous guest bedroom boasts a walk-through-robe to dual vanity ensuite, supplemented by a separate toilet and laundry. While a spacious retreat, study zone and balcony are placed upstairs along with the three additional bedrooms, each with walk-in-robes and ensuite, including the lavish master suite with sitting zone and walk-through-robe to dual vanity ensuite featuring a stone vanity, rainfall-effect shower, freestanding bath and toilet.,Luxury appointments include, keyless entry, ducted heating refrigerated air conditioning, alarm, intercom, CCTV, floor-to-ceiling tiles in all bathrooms, cloak/shoe closet, under stair storage, water tank, remote-controlled front gate plus a double garage with internal access.,Positioned in an exceptional location, within the GWSC zone with an easy walk to Aquatic Center and library, Glen Waverley Primary School, Glen Waverley Station, Glen Waverley Secondary College, Wesley College, Kingsway and The Glen Shopping Centre.","Bruce Liu,04245761...,Jackie Ji,04331610...",144336812,"https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/89d6df7a50c787b63f07721abf6b742f0e32e64a09d7cb54b7aa8cdfca6499f8/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/2b4bf37a3654a71bf4a03eae9a2f4e263f9672cbb45334f8ff8a5ff1ba3bea92/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/2b4bf37a3654a71bf4a03eae9a2f4e263f9672cbb45334f8ff8a5ff1ba3bea92/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/1315a26db9d62d0ea7b9aa762e428d23eb121f4f4a30b9d787f0e5f466d3138c/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/51fdbc388ea6424e63e0a0bdb6aba72975e81fe8f6757efe7267f2a68cbd7dc2/image.jpg"
"23 Diamond Avenue, Glen Waverley, Vic 3150",Contact Agent,4,2,663,2,"* Within Glen Waverley Primary School & Highvale Secondary College Catchment Zone (STSA),* Frontage: appx.18 metre wide x 37metre depth,Set on a regular block of approx. 663m2 in central Glen Waverley & perfectly positioned within walking distance to Glen Waverley Primary School & Highvale Secondary College and The New Glen Shopping Centre just up the road, this well kept family home was renovated with a family focused floorplan & quality family lifestyle in mind.,• Quiet family friendly location within walking distance to local primary and secondary schools including Highvale Secondary College, Glen Waverley Primary & Highvale Primary School,• Offering exceptional living spaces, with a family friendly floor plan with formal lounge room, separate dining ,• Four sizable bedrooms including 3 with BIRs plus a home office or study and 2 modern bathrooms with a dual basin vanity & skylight,• Sparkling modern kitchen equipped with quality appliances, extensive Caesarstone benchtops & abundant storage space;,• A covered pergola is overlooking outdoor gardens, double lock up garage, garden shed + wide driveway offering more parking space;,• Gas ducted heating throughout, polished Tassie Oak hardwood floorboards plus split-system air conditioning; ,• Update the original home or re-develop a brand new luxury home with breath-taking views of The Dandenong Ranges, the option is in your hands (STSA),• Super conveniently located within close proximity to all desired amenities and services,Conveniently located in a highly sought-after neighbourhood, within the Highvale Secondary College catchment and walking distance to Glen Waverley Primary school and near a short stroll to The Glen Shopping Centre and Kingsway Dining Strip, Bushy Park Wetlands, Jells Park, reserves and public transport easy access to Glen Waverley train station & EastLink motorway, this family home is sure to be impressive.,Contact Jerry Zhu 0401 753 099 for more information.,PHOTO ID REQUIRED AT ALL OPEN FOR INSPECTIONS,INSPECTION TIMES are subject to change without notice,Disclaimer: We have in preparing this document used our best endeavours to ensure that the information contained in this document is true and accurate, but accept no responsibility and disclaim all liability in respect to any errors, omissions, inaccuracies or misstatements in this document. Prospect purchasers should make their own enquiries to verify the information contained in this document and refer to the due diligence check-list provided by consumer affairs. Click on the link for a copy of the due diligence check-list: http://www.consumer.vic.gov.au/duediligencechecklist","Jerry Zhu,04017530...,Francis Leung,03988751...",144378892,"https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/5e2cae81880f4580a75c43daf74f1c5ebd97778c2b550fd1f7b8bed9a4bd7c0a/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/75c0ef38025cf97e65711ac71e9b86874ca3d191a42c9fdf9fb6ccf19943ba67/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/75c0ef38025cf97e65711ac71e9b86874ca3d191a42c9fdf9fb6ccf19943ba67/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/dad4eb030b9c5657263465bd1cd5b2eef5861304abc62712afee2cddc3a53d76/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/d2d538e9a01a6b5a613df803b45558b6ec70bb86c706d69b22052cb4b3cb6e1c/image.jpg"
"104 Springvale Road, Glen Waverley, Vic 3150",AUCTION,3,1,359,2,"Presenting first homebuyers and investors with an increasingly rare opportunity to get a foothold in the property market, this home enjoys a stylish carefree design only a short walk from The Glen Shopping Centre. ,Accessed via the service road with a secure portico entry, the home's flowing design takes you through to a light-filled lounge and dining room that's been updated with modern flooring for a fashionable feel. ,The adjacent kitchen is neatly presented and boasts a Blanco stove, Blanco oven, stainless steel dishwasher, glass splashbacks and double sinks, while sliding doors entice you out onto the entertaining zone with Dandenong Ranges views. ,Whether you're just starting out or accommodating a family, you'll appreciate the inclusion of three bedrooms, accompanied by a family bathroom, separate toilet and laundry. ,Well-appointed with ducted heating, air conditioning, alarm, fresh paintwork, garden shed, single garage plus driveway parking. ,Zoned to Highvale Secondary College (STSA), walking distance to Highvale Primary, The Glen Shopping Centre, buses, Glen Waverley Station and reserves with central access to Monash Freeway, EastLink and the Eastern Freeway. ,Photo ID required at all open for inspections.","Steven Zhang,04503650...,Jourdain Creigh,04300122...",144510436,"https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/b857e787c439ce395c715a7287bf85300c60cc9b700d27055e74d3e1a9ddbb8b/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/9772eaf3e211f562738e2715b98441e0011fc1e9715298e4c67e2dad2662e38e/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/9772eaf3e211f562738e2715b98441e0011fc1e9715298e4c67e2dad2662e38e/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/bccb3ca4f47a68c4ec1e889da5424e4de8bd269eee48b99a13192d9b03e40dcb/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/b74881f45594ad84f1b644f9003786b1905524ea9df8f0815e742abae34ac139/image.jpg"
"13 Torwood Avenue, Glen Waverley, Vic 3150","$1,635,000",4,2,629,2,"A peaceful single level sanctuary on a quiet avenue, this thoughtfully designed four bedroom, two bathroom home delivers a perfect combination of light-filled spaces, ripe for the growing family.,Featuring a swimming pool and a rear gate out to a parkland trail to the Napier Park playground, there are three distinct living zones that everyone will enjoy. The spacious lounge/dining room flows to the elegant kitchen with stainless steel appliances, the meals/family room an under-cover alfresco. Crowned with vaulted ceilings, the rear rumpus room extends out to a sunny pool-side deck.,Zoned for Mount View Primary School and Highvale Secondary College, walk to the bus stop for a quick trip to The Glen Shopping Centre, train station, Wesley College and Monash University.,- Fabulous four bedroom, two bathroom single level home,- Three spacious living zones,- A swimming pool,- Under-cover and open alfresco areas,- Master bedroom with ensuite,- Rear gate to a parkland trail,- Double garage,- Ducted heating and split system air-conditioning,- Walk to the primary school,- Catch the bus to The Glen, the train and Wesley College,---------------------------------------------------------------------------,Live Streaming via GAVL,McGrath clients have the opportunity to watch, bid and buy on live property auctions.,Register through www.gavl.com and follow the property link:,https://x5u9a.app.goo.gl/Dvgs,To be able to bid online, you must download the free GAVL App. ","Wilson Shi,04204812...,Ripple Wu,04339030...",144240472,"https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/7031adbb56286a1a18f605e4326e5d15822d4dbdac62d36c65a5add9055b5e57/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/7031adbb56286a1a18f605e4326e5d15822d4dbdac62d36c65a5add9055b5e57/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/3fbfe9954a1363e0d9f3b3120d4882cfcd930e39a20ddae417a6d317af6b2835/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/dfbbfa8918395ff4222b604a508e6a9586a401d044571e8e4e98554ca645b0a0/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/1e3208e403189167a5c1f9e91aa7aaf78cbbd0c78a49770b1482694afb0881a9/image.jpg"
"26 Silverwood Way, Glen Waverley, Vic 3150",AUCTION,3,2,404,2,"Celebrating family life with dual living zones and a sunlit design, this Silverwood Estate home embodies a wonderful indoor-outdoor aura with a beautiful garden courtyard to one side and alfresco entertaining to the other. ,Superbly designed to peer out into the entertaining zone whilst opening onto  garden fully reticulated, the formal lounge room is accompanied by a spacious dining area where mealtimes can be enjoyed with the family. ,Stylish floorboards entice you through to the generous kitchen boasting a Blanco gas stove, Kleenmaid oven, Fisher & Paykel dishwasher plus an adjacent family room that's embraced by windows. ,Achieving the perfect fusion between inside and out, sliding doors open onto a northerly oriented alfresco entertaining zone that's paved for easy maintenance and perfectly sized for relaxed afternoons with friends. ,Adding to the home's family friendly credentials, you'll find three robed bedrooms complete with a master bedroom boasting mirrored built-in-robes with dressing area and ensuite, accompanied by a family bathroom, separate toilet and laundry. ,Comfort is comprehensive with the inclusions of ducted heating, evaporative cooling, split system air conditioning, ducted vacuum, alarm, high ceilings, garden shed plus a automated double garage doors with internal access. ,Zoned to the much-admired Mount View Primary and Highvale Secondary College (STSA), near Wesley College, Caulfield Grammar, The Glen Shopping Centre, buses, Glen Waverley Station, Jells Park, Dandenong Creek Trail and EastLink. ","Anita Meng,04100008...,Nuria Jewell,04500008...",144510812,"https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/3c6fd8183d1ea4c3e7a1219ac1e604874668d9bb12ca93d6665f0b986b007a31/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/b9caf56f31f0f307401450d7efcb671d999eafa8f82ea73ec9620dd32a9140f6/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/b9caf56f31f0f307401450d7efcb671d999eafa8f82ea73ec9620dd32a9140f6/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/3c9c58d57c9be53fd0537768c643cf1a3df54c89522abc21bcfd310fdf9af239/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/c6f3396f538b7a36c8982b76a0edadd1d9ab00c5a7d16e04211592387383c6b5/image.jpg"
"Cove Floorplan/42-60 Capital Avenue, Glen Waverley, Vic 3150","$90,000 - $120,000*",1,1,28,Highvale project,"Feel at home in this welcoming and peaceful serviced apartment apartment floorplan with everything you need for a comfortable and stress-free living. Don’t miss this opportunity to live in one of our Cove apartments at Highvale.,Some of the key features of this Serviced Apartment floorplan include:,• a kitchenette,• a living/bedroom space with built-in closets, and a private bathroom,• enjoy different views, such as a balcony, a private courtyard, or a courtyard view depending on the location of the property you purchase.,About Highvale Retirement Village by Keyton,Nestled close to Glen Waverley's scenic parklands and nearby shopping centres, Highvale Retirement Village offers a modern setting for your dream retirement lifestyle. This sustainable, pet-friendly community boasts climate-conscious landscaping and communal vegetable gardens, ensuring a relaxing and enriching retirement lifestyle. Whether you prefer a well-appointed villa or the added support of our serviced apartments, Highvale offers a range of living options to suit your preferences.,Immerse yourself in exceptional amenities and a vibrant calendar of social events set against a relaxed suburban backdrop.,Highvale Village amenities include;,• Community centre,• Gym facilities,• Village bus for shopping and outings,• Library and welcoming communal spaces,• Regular visits from hairdressers and podiatrists,• Newspaper and chemist deliveries,• 24-hour emergency call system,--Next Steps--,We welcome you to book a village tour to learn more about the floorplans on offer and the lifestyle you could lead in Keyton’s Highvale Serviced Apartments. Book a tour with us today!,*Prices correct as of November 2023. *Photographs are for illustrative purposes. Some images may depict items not provided by Keyton within the units, such as furniture and other decorative items.",18005505...,143854160,"https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/project/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/2208e278ce76e690bbc379e04ef9f9e7094e2c6045ce050d2fbfbaccdbe9b1e7/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/www.realestate.com.au/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/listing/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/agency/image.jpg"
"91/42-60 Capital Avenue, Glen Waverley, Vic 3150","$530,000",1,1,66,1,"Delight in this beautifully presented one-bedroom unit, boasting a modern refresh with new paint and floor coverings. The open-plan layout with a separate dining area opens to a charming private garden, perfect for relaxation.,Some of the key features of this unit include;,• Freshly updated interior,• Open-plan living with distinct dining area,• Private garden for tranquil outdoor living,• Lovely wooden deck for entertaining,• Kitchen with ample storage and bench space,• Convenient separate internal laundry,• Well-appointed bathroom with walk-in shower,• Split system heating/cooling for year-round comfort,• Ideal for low-maintenance lifestyle seekers,About Highvale Retirement Village by Keyton,Nestled close to Glen Waverley's scenic parklands and nearby shopping centres, Highvale Retirement Village offers a modern setting for your dream retirement lifestyle.,This sustainable, pet-friendly community boasts climate-conscious landscaping and communal vegetable gardens, ensuring a relaxing and enriching retirement lifestyle.,Whether you prefer a well-appointed villa or the added support of our serviced apartments, Highvale offers a range of living options to suit your preferences.,Immerse yourself in exceptional amenities and a vibrant calendar of social events set against a relaxed suburban backdrop.,Highvale Village amenities include;,• Pet-friendly village,• Community centre,• Gym facilities,• Village bus for shopping and outings,• Library and welcoming communal spaces,• Regular visits from hairdressers, barbers, and podiatrists,• Newspaper and chemist deliveries,• 24-hour emergency call system,Don’t miss this opportunity to make this home your own. Enquire today and book a tour.,*Photographs are for illustrative purposes. Some images may depict items not provided by Keyton within the units such as furniture and other decorative items.",1800 550...,142149768,"https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/project/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/2208e278ce76e690bbc379e04ef9f9e7094e2c6045ce050d2fbfbaccdbe9b1e7/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/www.realestate.com.au/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/listing/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/agency/image.jpg"
"11 Hampstead Crescent, Glen Waverley, Vic 3150",Contact Agent,7,3,700,2,"Brimming with appeal for the large or extended family, this splendid family home on 700sqm approx. offers an abundance of accommodation, multiple indoor and outdoor living zones plus a brilliant bungalow!,- Six bedrooms offer ample accommodation for the largest of families; all featuring built-in-robes, master with ensuite effect access to the main bathroom with toilet.,- Bathroom, separate toilet and full-sized laundry with toilet.,- Bungalow boasting a bedroom/living zone with mirrored built-in robes, kitchenette plus a bathroom with toilet.,- Stylish lounge room boasting contemporary flooring,- Kitchen showcasing stone benches, 900mm gas cooktop, Domain oven, Asko dishwasher, corner pantry plus a breakfast bench.,- Dining zone connecting through to the family room and covered entertaining deck with accompanying backyard.,- Comforted by ducted heating and split system air conditioning,- Garden shed plus single lock-up carport,Superbly situated in the sought-after Brentwood Secondary Zone (STSA), near Glen Waverley South and Wheelers Hill Primary, Monash Uni, Brandon Park Shopping Centre, The Glen Shopping Centre and Glen Waverley entertainment precinct,,and Jells Park buses plus convenient access to both Monash and Eastlink Freeways.","Sergey Martynov,04139554...,Ming Xu,04006556...",143229436,"https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/c9ae27181cbe88aec77cb9a7f29e4975c0cfdaa8771bacb7ec551844d3e462f7/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/65f18b32679e71cacb57e1b9077b2a085ebd6bd6efdd342210acb63560cfaa80/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/65f18b32679e71cacb57e1b9077b2a085ebd6bd6efdd342210acb63560cfaa80/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/3c7a2ffd32e30a8ab586f479f4254196a947562d41fe5641f15b1f056d4142f6/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/d74afe6ed378f604836a5994d5f0844b60fa370ce470eeecfc85bfc3ae7c784d/image.jpg"
"3 Bridget  Street, Glen Waverley, Vic 3150",In The Zone $1.6m-$1.65m,4,3,248,2,"Nestled in the vibrant heart of Glen Waverley, this upcoming family-sized townhouse by Oreana Homes is a symphony of modern design and functional elegance. Set to be completed in March 2024, this residence is a canvas for your future, blending cutting-edge architecture with practical living spaces.,The home spans an impressive 23.35 sq (approx.). It boasts four well-appointed bedrooms (with the added luxury of two master bedrooms), three chic bathrooms including luxurious showerheads & neutral colour tones throughout. The design caters to both the young family carving out their first home dreams and the discerning downsizer who refuses to compromise on style or space.,The heart of each home is the expansive open-plan living domain, seamlessly extending onto a north-facing yard that invites natural light and warmth. The study area is a testament to modern needs, offering a versatile space for work or relaxation.,The attention to detail is evident in every corner, from feature entry doors to the timber flooring gracing the ground-floor living areas. The lofty 2.7m high ceilings in the living spaces enhance the sense of openness. The stone benchtops complete the breakfast bar, throw away your kettle and make your morning coffee with the zip tap provided, while high end BOSCH appliances (including a 900mm gas cooktop & dual ovens) add a touch of culinary sophistication.,This townhouse is more than just a home; it is a lifestyle choice, backed by a six-star energy rating and the comfort of heating and cooling throughout. The dream location within the Glen Waverley Secondary College catchment area further elevates its appeal, with The Glen Shopping Centre, Glen Waverley train station, and various recreational facilities just a stroll away.,Secure your future in this coveted Glen Waverley locale, where luxury, convenience, and style converge to create an unparalleled living experience.,Disclaimer: We have, in preparing this document, used our best endeavours to ensure that the information contained in this document is true and accurate, but we accept no responsibility and disclaim all liability in respect to any errors, omissions, inaccuracies or misstatements in this document. Prospective purchasers should make their own enquiries to verify the information contained in this document. Purchasers should make their own enquires and refer to the due diligence checklist provided by Consumer Affairs. Click on the link for a copy of the due diligence checklist from Consumer Affairs. http://www.consumer.vic.gov.au/duediligencechecklist","Leigh Kelepouris,04222834...,Jie Zhou,04228289...",141980108,"https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/d89aac2740d9522f14c0f8f7b51fcc094a2acea831dbc7af2bc94536989321ad/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/d89aac2740d9522f14c0f8f7b51fcc094a2acea831dbc7af2bc94536989321ad/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/920babd2659feccecda8cf2950a775c7f32fe6ea18104f58931a71a690280fb8/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/6755b908d4e630c2ef0638d03efb933b53972c67b7457ccc082b72fb5935648d/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/789f785aa5950c5fa22c9db97936a32f2c96f41d294d30cb15dbfd2cd6b68416/image.jpg"
"Grande Floorplan/42- Capital Avenue, Glen Waverley, Vic 3150","$335,000 - $360,000*",1,1,55,Highvale project,"Welcome to a new way to have a placid and serene lifestyle in the compact and comfortable Grande floorplan. Don’t miss this opportunity to live in one of our Grande apartments at Highvale.,Some of the key features of this Serviced Apartment floorplan include:,• open plan style kitchenette and living area,• generous bedroom with a built-in or walk-in robe,• private and modern bathrooms,• some apartments also have a European style laundry for your convenience,• enjoy different views, such as a balcony, a private courtyard, or a courtyard view depending on the location of the property you purchase.,About Highvale Retirement Village by Keyton,Nestled close to Glen Waverley's scenic parklands and nearby shopping centres, Highvale Retirement Village offers a modern setting for your dream retirement lifestyle. This sustainable, pet-friendly community boasts climate-conscious landscaping and communal vegetable gardens, ensuring a relaxing and enriching retirement lifestyle. Whether you prefer a well-appointed villa or the added support of our serviced apartments, Highvale offers a range of living options to suit your preferences.,Immerse yourself in exceptional amenities and a vibrant calendar of social events set against a relaxed suburban backdrop.,Highvale Village amenities include;,• Community centre,• Gym facilities,• Village bus for shopping and outings,• Library and welcoming communal spaces,• Regular visits from hairdressers and podiatrists,• Newspaper and chemist deliveries,• 24-hour emergency call system,Next Steps,We welcome you to book a village tour to learn more about the floorplans on offer and the lifestyle you could lead in Keyton’s Highvale Serviced Apartments. Book a tour with us today!,*Prices correct as of November 2023. Photographs are for illustrative purposes. Some images may depict items not provided by Keyton within the units, such as furniture and other decorative items.",18005505...,143034020,"https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/project/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/2208e278ce76e690bbc379e04ef9f9e7094e2c6045ce050d2fbfbaccdbe9b1e7/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/www.realestate.com.au/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/listing/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/agency/image.jpg"
"1407/25 Osullivan Road, Glen Waverley, Vic 3150","$810,000 - $830,000",2,2,313,1,"Welcome to this stunning 2 bedroom, 2 bathroom apartment located at 1407/25 Osullivan Road in the sought-after suburb of Glen Waverley, in the heart of the area with in Glen Waverley Secondary College zone, and walking distance to the central shopping centre, train station, schools and amenities.,This modern apartment features a spacious living area, a sleek kitchen with quality appliances, and a balcony with stunning views. The bedrooms are well-appointed with built-in robes, and the master bedroom includes an ensuite. ,With a carport space included, this apartment offers convenience and comfort. The building itself boasts a contemporary design and is located in a prime location close to all amenities.,Key Features and Amenities:,- 2 Bedrooms: Discover two beautifully designed bedrooms, each providing relaxation and rejuvenation.,- 2 Bathrooms, 2 Toilets: Enjoy the luxury of two well-appointed bathrooms and an additional toilet, ensuring privacy and ease of living.,- Parking and Storage: This apartment includes the convenience of parking and additional storage, simplifying your daily routine.,- Approximately 4,000m2 private podium gardens reminiscing of Singapore featuring BBQ areas, bars, lounges, rest area, kitchen garden, play and picnic area, private cabanas and meditation/wellness area means affordable luxury with minimal upkeep, freeing you to enjoy life's pleasures.,- resort-style swimming pool with sauna, two-level gym and open plan yoga area, library, private dining with kitchen and terrace BBQ facilities, private lounge, Mahjong rooms and private theatre enriching your daily life.,- Enhanced security and Front Desk Concierges ensure peace of mind, potentially reducing insurance costs.,- Private Social & Recreational Committee activities such as New Year/Halloween Celebrations,Photo ID required for all inspections.","Jichen Quan,04046169...,Andy Zhang,04492719...",144642660,"https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/a0f97c6de7bc0b648b855220d592c6d76c0dcc6599b097d481d34083cad95f94/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/a0f97c6de7bc0b648b855220d592c6d76c0dcc6599b097d481d34083cad95f94/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/fdf1328c06e5f26a80d7f6445b91949bc70306b9a2c26d224f37c33bcbc9b6a8/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/a2569a73bb996d9597599f4385908107f45078757efb6684af0962394aa2e7de/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/09e7516a9190142bb164e63dbfdb637c12179bd0932aa45982f8a8d503003320/image.jpg"
"2/48 Mount Street, Glen Waverley, Vic 3150",Contact Agent,4,2,327,2,"Impeccably designed to blend natural light and lavish style, this recently completed premium home offers luxurious living in the prestigious dual school zones of Mount View Primary and Glen Waverley Secondary.,Upon entry, a charming foyer leads to a formal lounge with strategically placed north-facing windows, enhancing the play of light. The ground floor boasts elegant timber flooring that seamlessly transitions into an open-plan, high-end kitchen with waterfall stone benches/splashbacks, soft-close cabinetry and a 900mm steel oven. An adjacent deck provides a perfect space for entertaining.,The master bedroom on the ground floor features a fitted walk-in-robe and an ensuite adorned with floor-to-ceiling tiles. Upstairs, three additional bedrooms, all with built-in robes, share a luxurious family bathroom complete with a rainfall effect shower, designer bathtub, floor-to-ceiling tiles, stone-topped vanity, and a separate toilet.,Additional features include a powder room, separate laundry, heating and air conditioning, alarm system, solar hot water, under stair storage, and a remote double garage with internal access.,This is your opportunity to live in Glen Waverley's most exclusive location in the Glen Waverley Secondary College zone, Mount View Primary School zone and close proximity to Wesley College. Conveniently situated near The Glen Shopping Centre and the delights of Kingsway restaurants, the Glen Waverley railway station is just steps away, while the Monash Freeway and Eastlink provide easy access to the city.","Calvin Huang,04336257...,Eric Shan,04580377...",143229984,"https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/dc9039035e2409dc3f37f40ab8e9d13a0a5b58e60def1d3cc271d06e294d966a/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/e4ac3b5ad97a7f40ea640c9b0be09c8d6f4e4dba3d0daf706f59cd388bc340e4/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/e4ac3b5ad97a7f40ea640c9b0be09c8d6f4e4dba3d0daf706f59cd388bc340e4/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/e83c558073e35e463ef5e1c98f3074b08a468d414e9ab73f4f62dd350b0b3d04/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/d8f7b183a674341f0c1320a4bc77d5d988c3561794e07c21787684b3a8566634/image.jpg"
